组播,#genre#
CCTV-01频道,http://112.102.217.173:9003//hls/13/index.m3u8
CCTV-02频道,http://112.102.217.173:9003//hls/14/index.m3u8
CCTV-03频道,http://112.102.217.173:9003//hls/15/index.m3u8
CCTV-04频道,http://112.102.217.173:9003//hls/16/index.m3u8
CCTV-05频道,http://112.102.217.173:9003//hls/17/index.m3u8
CCTV-5+频道,http://112.102.217.173:9003//hls/18/index.m3u8
CCTV-06频道,http://112.102.217.173:9003//hls/19/index.m3u8
CCTV-07频道,http://112.102.217.173:9003//hls/20/index.m3u8
CCTV-08频道,http://112.102.217.173:9003//hls/21/index.m3u8
CCTV-09频道,http://112.102.217.173:9003//hls/22/index.m3u8
CCTV-10频道,http://112.102.217.173:9003//hls/23/index.m3u8
CCTV-11频道,http://112.102.217.173:9003//hls/24/index.m3u8
CCTV-12频道,http://112.102.217.173:9003//hls/25/index.m3u8
CCTV-13频道,http://112.102.217.173:9003//hls/26/index.m3u8
CCTV-14频道,http://112.102.217.173:9003//hls/27/index.m3u8
CCTV-15频道,http://112.102.217.173:9003//hls/28/index.m3u8
CCTV-16频道,http://112.102.217.173:9003//hls/29/index.m3u8
CCTV-17频道,http://112.102.217.173:9003//hls/30/index.m3u8
CGTn-01频道,http://112.102.217.173:9003//hls/32/index.m3u8
CGTn-02频道,http://112.102.217.173:9003//hls/33/index.m3u8
CETV-01频道,http://112.102.217.173:9003//hls/34/index.m3u8
CETV-02频道,http://112.102.217.173:9003//hls/35/index.m3u8
CETV-04频道,http://112.102.217.173:9003//hls/36/index.m3u8
北京卫视频道,http://112.102.217.173:9003//hls/41/index.m3u8
东方卫视频道,http://112.102.217.173:9003//hls/39/index.m3u8
浙江卫视频道,http://112.102.217.173:9003//hls/40/index.m3u8
江苏卫视频道,http://112.102.217.173:9003//hls/38/index.m3u8
湖南卫视频道,http://112.102.217.173:9003//hls/37/index.m3u8
广东卫视频道,http://112.102.217.173:9003//hls/42/index.m3u8
深圳卫视频道,http://112.102.217.173:9003//hls/51/index.m3u8
天津卫视频道,http://112.102.217.173:9003//hls/46/index.m3u8
安徽卫视频道,http://112.102.217.173:9003//hls/43/index.m3u8
山东卫视频道,http://112.102.217.173:9003//hls/48/index.m3u8
河北卫视频道,http://112.102.217.173:9003//hls/56/index.m3u8
河南卫视频道,http://112.102.217.173:9003//hls/44/index.m3u8
东南卫视频道,http://112.102.217.173:9003//hls/47/index.m3u8
海南卫视频道,http://112.102.217.173:9003//hls/53/index.m3u8
江西卫视频道,http://112.102.217.173:9003//hls/49/index.m3u8
湖北卫视频道,http://112.102.217.173:9003//hls/54/index.m3u8
四川卫视频道,http://112.102.217.173:9003//hls/50/index.m3u8
贵州卫视频道,http://112.102.217.173:9003//hls/52/index.m3u8
重庆卫视频道,http://112.102.217.173:9003//hls/55/index.m3u8
吉林卫视频道,http://112.102.217.173:9003//hls/45/index.m3u8
广西卫视频道,http://112.102.217.173:9003//hls/62/index.m3u8
辽宁卫视频道,http://112.102.217.173:9003//hls/57/index.m3u8
青海卫视频道,http://112.102.217.173:9003//hls/59/index.m3u8
云南卫视频道,http://112.102.217.173:9003//hls/60/index.m3u8
山西卫视频道,http://112.102.217.173:9003//hls/61/index.m3u8
新疆卫视频道,http://112.102.217.173:9003//hls/64/index.m3u8
延边卫视频道,http://112.102.217.173:9003//hls/65/index.m3u8
兵团卫视频道,http://112.102.217.173:9003//hls/66/index.m3u8
宁夏卫视频道,http://112.102.217.173:9003//hls/67/index.m3u8
